date,open,high,low,close,volume,amount,outstanding_share,turnover
1993-08-09,9.85,10.3,9.5,10.1,1159500.0,11427000.0,16500000.0,0.07027272727272728
1993-08-10,10.2,10.8,10.2,10.7,1334200.0,14207000.0,16500000.0,0.08086060606060606
1993-08-11,10.55,12.7,10.5,12.7,1120300.0,12625000.0,16500000.0,0.06789696969696969
1993-08-12,12.7,12.8,12.1,12.55,1714300.0,21496000.0,16500000.0,0.1038969696969697
1993-08-13,12.55,14.05,12.5,14.05,1442600.0,18782000.0,16500000.0,0.08743030303030302
1993-08-16,14.2,17.0,14.2,17.0,1725100.0,26299000.0,16500000.0,0.10455151515151515
1993-08-17,17.0,17.0,14.5,14.5,1938300.0,30947000.0,16500000.0,0.11747272727272727
1993-08-18,14.35,15.5,13.0,14.75,1632600.0,24054000.0,16500000.0,0.09894545454545454
1993-08-19,14.75,14.9,13.8,14.15,638800.0,9105000.0,16500000.0,0.038715151515151515
1993-08-20,14.0,14.0,13.05,13.45,649400.0,8789000.0,16500000.0,0.03935757575757576
1993-08-23,13.3,13.3,12.3,12.35,703500.0,8880000.0,16500000.0,0.04263636363636364
1993-08-24,12.2,14.65,11.5,14.6,1664500.0,22290000.0,16500000.0,0.10087878787878787
1993-08-25,14.5,14.55,13.6,14.0,1802000.0,25640000.0,16500000.0,0.10921212121212122
1993-08-26,13.85,14.5,13.5,13.9,672800.0,9462000.0,16500000.0,0.040775757575757576
1993-08-27,13.9,14.3,13.45,13.6,623300.0,8565000.0,16500000.0,0.037775757575757574
1993-08-30,13.45,14.3,13.2,14.0,581800.0,8051000.0,16500000.0,0.03526060606060606
1993-09-01,13.75,13.75,12.4,12.95,1694400.0,21869000.0,16500000.0,0.1026909090909091
1993-09-02,12.8,12.85,12.45,12.75,540700.0,6898000.0,16500000.0,0.03276969696969697
1993-09-03,12.6,12.8,12.4,12.8,521300.0,6571000.0,16500000.0,0.031593939393939396
1993-09-06,12.95,13.0,12.45,12.5,268200.0,3386000.0,16500000.0,0.016254545454545456
1993-09-07,12.35,12.65,12.3,12.35,168700.0,2095000.0,16500000.0,0.010224242424242424
1993-09-08,12.2,12.2,11.9,12.0,252400.0,3036000.0,16500000.0,0.015296969696969698
1993-09-09,12.0,12.0,11.85,11.9,155200.0,1853000.0,16500000.0,0.009406060606060605
1993-09-10,12.0,12.0,11.4,11.6,194800.0,2262000.0,16500000.0,0.011806060606060606
1993-09-13,11.45,11.45,10.8,10.85,291300.0,3199000.0,16500000.0,0.017654545454545454
1993-09-14,10.8,11.2,10.5,11.15,251300.0,2785000.0,16500000.0,0.01523030303030303
1993-09-15,11.3,11.3,10.95,11.0,137200.0,1515000.0,16500000.0,0.008315151515151515
1993-09-16,10.95,11.1,10.8,10.85,185000.0,2020000.0,16500000.0,0.011212121212121211
1993-09-20,10.7,11.6,10.5,11.5,370100.0,4169000.0,16500000.0,0.02243030303030303
1993-09-21,11.5,11.8,11.1,11.2,333500.0,3851000.0,16500000.0,0.020212121212121213
