date,open,high,low,close,volume,amount,outstanding_share,turnover
2003/11/18,6.23,6.48,6.11,6.18,753863103,4693850007,1279300000,0.5892778105213788
2003/11/19,6.16,6.28,6.15,6.24,96487383,601303012,1279300000,0.07542201438286562
2003/11/20,6.23,6.35,6.19,6.35,80413119,504194744,1279300000,0.06285712420855155
2003/11/21,6.36,6.53,6.32,6.32,83514726,535389773,1279300000,0.0652815805518643
2003/11/24,6.32,6.67,6.32,6.65,67664675,439502309,1279300000,0.05289195263034472
2003/11/25,6.65,6.73,6.56,6.61,73092530,486006595,1279300000,0.05713478464785429
2003/11/26,6.61,6.73,6.56,6.62,30557854,202771302,1279300000,0.023886386305010554
2003/11/27,6.62,6.71,6.57,6.66,34184475,227201858,1279300000,0.026721234268740717
2003/11/28,6.67,6.86,6.67,6.82,46420361,315038270,1279300000,0.036285750801219416
2003/12/1,6.82,7.02,6.81,7,60715269,422053736,1279300000,0.04745975846165872
2003/12/2,7.02,7.06,6.97,7,49673663,348166234,1279300000,0.038828783709841316
2003/12/3,7,7.69,6.99,7.38,123634920,899776595,1279300000,0.0966426326897522
2003/12/4,7.38,7.57,7.33,7.46,80532968,600057588,1279300000,0.06295080747283671
2003/12/5,7.47,7.55,7.32,7.47,65851201,488630103,1279300000,0.051474400844211676
2003/12/8,7.47,7.54,7.35,7.36,41100554,305294846,1279300000,0.03212737747205503
2003/12/9,7.36,7.57,7.36,7.55,53130054,397336339,1279300000,0.041530566716172904
2003/12/10,7.58,7.74,7.55,7.73,62604522,479721080,1279300000,0.04893654498553897
2003/12/11,7.76,7.82,7.49,7.6,81716704,623975918,1279300000,0.06387610724615024
2003/12/12,7.56,7.62,7.48,7.58,36584294,275712415,1279300000,0.02859711873680919
2003/12/15,7.58,7.59,7.47,7.51,30550542,229670112,1279300000,0.02388067067927773
2003/12/16,7.5,7.7,7.4,7.67,54410022,410789389,1279300000,0.04253108887672946
2003/12/17,7.61,7.78,7.55,7.56,48720370,373294964,1279300000,0.03808361604002189
2003/12/18,7.53,7.78,7.51,7.73,34982281,267809645,1279300000,0.027344861252247322
2003/12/19,7.77,8.09,7.76,8,86725345,685083798,1279300000,0.06779124912061284
2003/12/22,8.05,8.7,7.97,8.6,95295105,791970326,1279300000,0.07449003752051904
2003/12/23,8.6,8.74,8.54,8.69,62355811,539230129,1279300000,0.04874213319784257
2003/12/24,8.69,8.87,8.61,8.86,50427107,438304465,1279300000,0.03941773391698585
2003/12/25,8.89,9.05,8.71,8.83,59412995,528050103,1279300000,0.04644180020323614
2003/12/26,8.83,8.87,8.65,8.72,38569083,336355076,1279300000,0.03014858360040647
2003/12/29,8.68,8.77,8.59,8.62,32623334,282820470,1279300000,0.02550092550613617
2003/12/30,8.62,9.05,8.62,8.99,69945314,624765236,1279300000,0.05467467677636207
2003/12/31,9.05,9.07,8.66,8.68,50752639,448534167,1279300000,0.03967219495036348
2004/1/2,8.71,9,8.68,8.83,37709688,333953426,1279300000,0.029476813882592042
2004/1/5,8.81,9.29,8.74,9.2,82084105,746490917,1279300000,0.06416329633393263
2004/1/6,9.22,9.26,8.93,9.07,88712116,804496856,1279300000,0.06934426326897522
2004/1/7,9.07,9.55,8.97,9.26,90452548,839939743,1279300000,0.07070471976862347
2004/1/8,9.25,9.37,9.11,9.24,43007348,396610043,1279300000,0.03361787540060971
2004/1/9,9.24,9.35,8.86,8.91,60537381,549535584,1279300000,0.047320707418119286
2004/1/12,8.88,9.16,8.68,9.13,66829066,598502664,1279300000,0.05223877589306652
2004/1/13,9.15,9.15,8.79,8.87,45907320,411131288,1279300000,0.035884718205268507
2004/1/14,8.85,8.92,8.69,8.78,28824540,253404170,1279300000,0.022531493785664033
2004/1/15,8.77,8.9,8.58,8.61,41954580,364488249,1279300000,0.03279495036348003
2004/1/16,8.62,8.92,8.62,8.82,41367966,363682239,1279300000,0.03233640741030251
2004/1/29,8.83,8.95,8.76,8.91,21044688,186076076,1279300000,0.016450158680528414
2004/1/30,8.91,9.02,8.7,8.74,32595507,289238771,1279300000,0.025479173766903774
2004/2/2,9.61,9.61,8.9,9.04,99835968,912461881,1279300000,0.07803952786680216
2004/2/3,9.04,9.24,8.96,9.2,38943150,356039026,1279300000,0.03044098335026968
2004/2/4,9.21,9.95,9.21,9.8,94118764,905155254,1279300000,0.07357051825216915
2004/2/5,9.8,9.94,9.66,9.85,41389287,405781482,1279300000,0.032353073555850854
2004/2/6,9.85,9.86,9.63,9.73,33573141,327012955,1279300000,0.02624336824826077
2004/2/9,9.76,9.95,9.7,9.77,28180910,277047910,1279300000,0.022028382709294147
2004/2/10,9.77,9.82,9.48,9.54,34964524,335705047,1279300000,0.02733098100523724
2004/2/11,9.54,9.6,9.33,9.44,37963693,358030302,1279300000,0.029675363870866882
2004/2/12,9.55,9.58,8.9,8.92,73026053,665299018,1279300000,0.057082821074024855
2004/2/13,8.9,9.08,8.85,8.95,37122371,332319056,1279300000,0.029017721410146174
2004/2/16,8.96,9.14,8.95,9.14,33429351,302272855,1279300000,0.02613097084343
2004/2/17,9.17,9.2,8.96,9,47690942,433284421,1279300000,0.037278935355272415
2004/2/18,9,9.08,8.91,9.04,27925117,251818082,1279300000,0.021828435081685298
2004/2/19,9.04,9.21,9,9.13,51395038,468882735,1279300000,0.04017434378175565
2004/2/20,9.13,9.17,9.05,9.1,21038314,191666349,1279300000,0.016445176268271713
2004/2/23,9.11,9.15,8.72,8.75,35458400,315331246,1279300000,0.027717032752286406
2004/2/24,8.7,8.85,8.61,8.77,29280401,255554944,1279300000,0.022887830063315875
2004/2/25,8.77,9.01,8.71,8.77,19574663,173421156,1279300000,0.015301073243179864
2004/2/26,8.77,8.94,8.64,8.92,25823242,227582280,1279300000,0.020185446728679748
2004/2/27,8.99,9.07,8.9,8.99,21895110,196919555,1279300000,0.017114914406315955
2004/3/1,8.98,8.99,8.74,8.89,19291123,170456940,1279300000,0.015079436410537012
2004/3/2,8.92,9.02,8.79,8.83,18607398,165461771,1279300000,0.014544983975611662
2004/3/3,8.84,8.95,8.6,8.69,23755499,207739107,1279300000,0.01856913859141718
2004/3/4,8.66,8.74,8.49,8.57,27046919,232197905,1279300000,0.021141967482216837
2004/3/5,8.57,8.7,8.49,8.55,17186536,147444421,1279300000,0.01343432814820605
2004/3/8,8.55,8.61,8.48,8.49,14198038,121125416,1279300000,0.01109828656296412
2004/3/9,8.51,8.74,8.49,8.59,23094768,199466645,1279300000,0.018052660048464005
2004/3/10,8.62,9,8.62,8.99,48307505,428078113,1279300000,0.037760888767294616
2004/3/11,8.99,9.07,8.91,8.98,34019181,306170335,1279300000,0.026592027671382787
2004/3/12,8.98,9.07,8.92,9,22138805,199469698,1279300000,0.017305405299773313
2004/3/15,9,9.3,8.98,9.19,41299024,379711023,1279300000,0.03228251700148519
2004/3/16,9.24,9.42,9.18,9.23,36584088,339703631,1279300000,0.028596957711248337
2004/3/17,9.25,9.3,9.11,9.23,18174481,167179759,1279300000,0.014206582506058
2004/3/18,9.23,9.32,9.11,9.12,23897293,220294502,1279300000,0.018679975767998125
2004/3/19,9.08,9.3,9.03,9.28,17853076,163644920,1279300000,0.013955347455639804
2004/3/22,9.26,9.35,9.17,9.2,15176842,140110911,1279300000,0.011863395606972563
2004/3/23,9.19,9.2,9.01,9.03,15300401,138601697,1279300000,0.011959978894708043
2004/3/24,9,9.1,8.97,9,10058420,90723651,1279300000,0.00786244039709216
2004/3/25,8.98,9.06,8.87,8.92,13141468,117492942,1279300000,0.010272389588055968
2004/3/26,8.89,8.93,8.81,8.9,10777752,95582278,1279300000,0.008424726022043305
