date,open,high,low,close,volume,amount,outstanding_share,turnover
2010/3/9,178.78,178.78,172.72,178.78,93775800,1509577600,826928499,0.11340254945065087
2010/3/10,183.86,185.41,173.16,174.26,81245464,1322201344,826928499,0.09824968434181393
2010/3/11,172.27,174.48,167.86,173.38,32122132,498144864,826928499,0.03884511422552871
2010/3/12,172.27,172.83,167.2,167.42,19200802,293696192,826928499,0.023219422263496086
2010/3/15,166.76,168.52,162.78,167.31,16075086,240539776,826928499,0.019439511420200794
2010/3/16,167.64,167.97,165.32,165.54,9456211,142568048,826928499,0.011435342972742315
2010/3/17,166.2,175.58,164.99,175.03,24283720,375484672,826928499,0.029366166517862387
2010/3/18,174.04,176.58,170.07,170.51,35425592,553127296,826928499,0.04283996989200393
2010/3/19,170.4,173.38,168.52,169.96,21524710,332675872,826928499,0.0260297111854649
2010/3/22,169.96,170.29,168.08,168.74,16504285,253038768,826928499,0.019958539365807975
2010/3/23,169.18,170.84,168.08,169.62,14825101,227650832,826928499,0.01792791156421373
2010/3/24,169.4,170.18,165.65,166.76,14208016,216613984,826928499,0.017181674131659115
2010/3/25,166.87,167.2,162.67,163.33,15031430,223567200,826928499,0.018177424067712535
2010/3/26,163.44,168.41,162.56,166.65,12687167,190862576,826928499,0.015342519958306577
2010/3/29,165.54,170.07,165.54,168.85,13317411,203264480,826928499,0.016104670495822395
2010/3/30,168.74,169.51,165.54,166.42,13275699,200464064,826928499,0.016054228407962997
2010/4/1,167.2,170.29,166.87,169.51,21540784,330031776,826928499,0.026049149383591385
2010/4/2,169.51,169.74,166.76,166.98,12780112,194001856,826928499,0.015454917825972763
2010/4/6,167.42,168.19,164.77,165.32,15578191,234462800,826928499,0.01883861908114017
2010/4/7,165.54,166.98,164.55,166.09,10833368,163004944,826928499,0.013100731215698493
2010/4/8,165.76,168.41,164.88,166.53,14811505,224461760,826928499,0.017911469997601327
2010/4/9,166.53,177.68,166.53,175.25,52514884,828190592,826928499,0.06350595494472129
2010/4/12,175.92,186.18,174.81,185.85,63630200,1048001536,826928499,0.07694764429687409
2010/4/13,185.08,190.48,180.33,187.5,59528964,1003717184,826928499,0.07198804258407836
2010/4/14,187.5,188.83,184.08,187.83,26755210,453199200,826928499,0.032354925525429255
2010/4/15,188.5,188.61,184.19,185.96,21262572,357357504,826928499,0.025712709171001737
2010/4/16,185.96,186.4,182.65,184.74,13406975,223891424,826928499,0.016212979739134617
2010/4/19,184.08,190.26,182.54,184.97,31179336,528788736,826928499,0.03770499630585353
2010/4/20,185.41,191.48,179.34,191.37,38603640,658372352,826928499,0.04668316552964756
2010/4/21,192.25,199.64,188.72,196.66,45370104,799786624,826928499,0.05486581252776487
2010/4/22,195.78,198.21,191.37,194.79,29087476,513762560,826928499,0.03517532172996253
2010/4/23,194.9,198.21,192.8,197.88,21064888,373852736,826928499,0.025473651017559138
2010/4/26,197.88,199.31,196.88,197.99,14965996,268764768,826928499,0.018098295098183573
2010/4/27,197.33,197.33,186.51,193.13,25387184,439223968,826928499,0.030700579349605895
2010/4/28,192.03,202.95,190.26,201.74,33254538,601326656,826928499,0.040214526455690576
2010/4/29,202.51,203.51,194.68,197.88,23077450,416878944,826928499,0.027907430966410556
2010/4/30,198.1,198.1,186.95,189.38,22723668,391365984,826928499,0.027479604376290823
2010/5/4,187.61,198.65,185.96,193.24,20842714,366659776,826928499,0.025204977244350602
2010/5/5,192.03,202.84,192.03,201.74,34482476,618361280,826928499,0.041699464998121924
2010/5/6,201.41,204.17,196.77,197.1,20974704,381885056,826928499,0.0253645920117212
2010/5/7,190.48,198.76,189.38,192.58,18045884,318014848,826928499,0.0218227863978842
2010/5/10,191.48,198.21,188.06,188.28,15762805,274513664,826928499,0.019061871756822835
2010/5/11,190.7,192.47,181.43,183.53,18099208,306078048,826928499,0.021887270812273697
2010/5/12,182.54,184.97,177.68,182.87,15830176,260091952,826928499,0.019143343129597472
2010/5/13,182.87,190.81,182.54,190.59,15831734,268786016,826928499,0.019145227210266944
2010/5/14,189.16,196.11,187.72,193.79,15797778,276196224,826928499,0.019104164409745418
2010/5/17,191.03,194.79,185.19,185.74,12957413,223680704,826928499,0.01566932693173512
2010/5/19,186.73,191.81,184.63,185.96,12952408,220603328,826928499,0.01566327441328153
2010/5/20,185.19,185.96,179.89,180.66,10575381,175335952,826928499,0.012788748982274464
2010/5/21,178.12,183.86,175.92,183.2,10361824,168903120,826928499,0.012530495698879039
2010/5/24,183.09,189.82,183.09,187.94,13054641,221853024,826928499,0.015786904207300757
2010/5/25,186.84,189.38,184.74,185.74,9886611,167745440,826928499,0.01195582328091948
2010/5/26,186.95,188.39,183.31,187.28,7704572,129941848,826928499,0.009317095745662527
2010/5/27,187.28,190.92,184.74,189.71,10465765,178337792,826928499,0.012656190967727186
2010/5/28,190.48,196.66,190.48,193.35,15390208,270660160,826928499,0.018611292292636295
2010/5/31,193.79,199.75,193.35,193.68,17165744,305659904,826928499,0.020758438027905
2010/6/1,192.91,193.79,185.85,193.79,13697977,236617552,826928499,0.01656488682705323
2010/6/2,192.58,193.46,186.95,189.6,12558288,214901024,826928499,0.015186667305802941
2010/6/3,190.48,192.69,188.5,188.83,8521678,147062688,826928499,0.010305217452663945
2010/6/4,188.06,198.43,186.95,197.66,17359708,306027392,826928499,0.02099299760619328
2010/6/7,193.9,206.38,193.24,205.71,30466764,555573056,826928499,0.03684328697927727
2010/6/8,204.61,206.38,201.52,204.5,13043834,240937472,826928499,0.0157738353627597
2010/6/9,204.17,209.69,202.62,207.92,16312979,304900384,826928499,0.01972719409202512
2010/6/10,206.38,210.35,205.82,206.71,9053568,170374848,826928499,0.01094842904912387
2010/6/11,207.81,207.81,202.4,203.62,13338511,246973472,826928499,0.0161301866075848
2010/6/17,203.73,204.5,186.07,186.18,28211116,494293216,826928499,0.03411554449280143
2010/6/18,183.86,184.3,167.53,175.92,28288032,456575296,826928499,0.03420855858058896
2010/6/21,173.16,179.67,171.94,178.56,10796003,173510592,826928499,0.013055545930579907
2010/6/22,178.56,181.76,177.02,180.77,11418640,185756336,826928499,0.013808497365622901
2010/6/23,179.67,181.65,176.58,179.56,7753528,125865272,826928499,0.009376297962128887
2010/6/24,178.45,183.53,178.34,180.22,5829131,95592424,826928499,0.0070491354537292345
2010/6/25,180.99,182.32,177.57,177.79,8488489,137917920,826928499,0.010265082180944402
2010/6/28,177.02,181.32,177.02,178.56,6198247,100577424,826928499,0.007495505364122176
2010/6/29,178.45,179.45,171.06,176.47,10012353,159216592,826928499,0.01210788237690185
2010/6/30,175.47,182.43,171.17,180.77,18348620,297435040,826928499,0.02218888334624926
2010/7/1,179.56,181.43,168.52,170.73,11089764,175495648,826928499,0.013410789461737974
2010/7/2,169.51,170.07,156.6,163.22,11523619,170192320,826928499,0.013935447882054431
2010/7/5,161.13,164.99,156.16,164.11,4441065,65326708,826928499,0.005370555018203575
2010/7/6,162.67,171.06,162.67,170.29,5903044,90053280,826928499,0.007138518030444613
